,Movie ID,Actor 1,Actor 2,Actor 3,Director
322,558,Tobey Maguire,Kirsten Dunst,James Franco,Sam Raimi
323,7220,Thomas Jane,John Travolta,Will Patton,Jonathan Hensleigh
324,747,Simon Pegg,Nick Frost,Kate Ashfield,Edgar Wright
325,11024,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,Raja Gosnell
326,27,Kieran O'Brien,Margo Stilley,Courtney Taylor-Taylor,Michael Winterbottom
327,2502,Matt Damon,Franka Potente,Brian Cox,Paul Greengrass
328,594,Tom Hanks,Catherine Zeta-Jones,Stanley Tucci,Steven Spielberg
329,36648,Wesley Snipes,Jessica Biel,Ryan Reynolds,David S. Goyer
330,16907,Junko Takeuchi,Chie Nakamura,Noriaki Sugiyama,Tensai Okamura
331,11358,Dwayne Johnson,Johnny Knoxville,Neal McDonough,Kevin Bray
332,1577,Milla Jovovich,Sienna Guillory,Oded Fehr,Alexander Witt
333,163,George Clooney,Brad Pitt,Matt Damon,Steven Soderbergh
334,14442,Anne Hathaway,Hugh Dancy,Cary Elwes,Tommy O'Haver
335,1970,Sarah Michelle Gellar,Jason Behr,William Mapother,Takashi Shimizu
336,9352,Scott Mechlowicz,Jacob Pitts,Travis Wester,Jeff Schaffer
337,17111,Ananda Everingham,Natthaweeranuch Thongmee,Achita Sikamana,Banjong Pisanthanakun
338,11774,Emily Browning,Liam Aiken,Jim Carrey,Brad Silberling
339,9477,Clive Owen,Ioan Gruffudd,Keira Knightley,Antoine Fuqua
340,9472,Vince Vaughn,Christine Taylor,Ben Stiller,Rawson Marshall Thurber
341,39203,Minami Takayama,Kappei Yamaguchi,Wakana Yamazaki,Yasuichiro Yamamoto
342,1538,Tom Cruise,Jamie Foxx,Mark Ruffalo,Michael Mann
343,693,Ben Stiller,Robert De Niro,Dustin Hoffman,Jay Roach
344,1677,Jamie Foxx,Kerry Washington,Regina King,Taylor Hackford
345,11636,Jackie Chan,Nicholas Tse,Charlie Yeung,Benny Chan
346,44728,Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Kazuhisa Takenouchi
347,1966,Colin Farrell,Angelina Jolie,Val Kilmer,Oliver Stone
348,13969,Katie Holmes,Marc Blucas,Amerie,Forest Whitaker
