,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
294,11836,30000000,140161792,Family,Animation,Comedy,Fantasy,Adventure,2004-11-14,87
295,10555,75000000,367275019,Animation,Action,Comedy,Family,N/A,2004-09-20,90
296,652,175000000,497409852,Adventure,History,War,Action,N/A,2004-05-03,163
297,615,30000000,611899420,Drama,N/A,N/A,N/A,N/A,2004-02-25,127
298,38,20000000,72258126,Science Fiction,Drama,Romance,N/A,N/A,2004-03-19,108
299,7131,160000000,300257475,Horror,Adventure,Action,N/A,N/A,2004-05-05,132
300,12242,0,0,Animation,Comedy,Family,Action,N/A,2004-11-03,79
301,10591,21000000,31635150,Comedy,Romance,N/A,N/A,N/A,2004-04-09,110
302,11249,12000000,24829644,Comedy,Horror,Thriller,N/A,N/A,2004-11-12,87
303,1487,66000000,99318987,Fantasy,Action,N/A,N/A,N/A,2004-04-02,122
304,11430,0,1465,Family,Animation,Comedy,Action,N/A,2004-02-06,77
305,1954,13000000,96060858,Science Fiction,Thriller,N/A,N/A,N/A,2004-01-17,113
306,435,125000000,552639571,Action,Adventure,Science Fiction,Thriller,N/A,2004-05-26,124
307,13700,110000000,145358062,Animation,Family,N/A,N/A,N/A,2004-04-02,76
308,2048,120000000,347234916,Action,Science Fiction,N/A,N/A,N/A,2004-07-15,115
309,1824,75000000,196482882,Comedy,Romance,N/A,N/A,N/A,2004-02-13,99
310,924,26000000,102278712,Horror,Action,N/A,N/A,N/A,2004-03-19,101
311,11237,0,0,Adventure,Fantasy,Action,Horror,N/A,2004-08-25,94
312,9509,70000000,130293714,Action,Drama,Thriller,N/A,N/A,2004-04-23,146
313,11052,20000000,29170410,Animation,Fantasy,Action,Science Fiction,N/A,2004-08-13,90
314,393,30000000,152159461,Action,Crime,Thriller,N/A,N/A,2004-04-16,136
315,9470,20000000,102034104,Action,Comedy,Crime,Fantasy,N/A,2004-02-10,99
316,10096,37000000,96455697,Comedy,Fantasy,Romance,N/A,N/A,2004-04-13,98
317,11247,19000000,70067909,Comedy,Family,Romance,N/A,N/A,2004-07-10,95
318,2059,100000000,347512318,Adventure,Action,Thriller,Mystery,N/A,2004-11-19,131
319,5255,165000000,310634054,Animation,Family,Adventure,Fantasy,Comedy,2004-11-10,100
320,12657,16000000,14822346,Romance,Comedy,N/A,N/A,N/A,2004-05-28,86
